original_lon,original_lat,distance,formatted,latitude,longitude,name,housenumber,street,district,suburb,postcode,county_code,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
103.84642962366343,1.3608929368257732,0,"McDonald's, 1378 Ang Mo Kio Avenue 1, Singapore 569981, Singapore",1.3609174,103.84641593037244,McDonald's,1378,Ang Mo Kio Avenue 1,,Bishan,569981,,Singapore,Central,,,Singapore,sg,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
120.9954085573554,14.579265637524939,0.17926837459820108,"McDonald's, Santo Sepulcro Street, Manila, 1007 Metro Manila, Philippines",14.5792658,120.9954069,McDonald's,,Santo Sepulcro Street,Fifth District,Paco,1007,,Manila,Capital District,Metro Manila,,Philippines,ph,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
121.54823362827301,25.04130820049082,0,"龍門大廈, 128 忠孝東路四段, Da'an District, Taipei 10686, Taiwan",25.0413004,121.5480426,龍門大廈,128,忠孝東路四段,,Da'an District,10686,,Taipei,,,,Taiwan,tw,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
114.17028866708279,22.32115107567618,0.11058273174041511,"McDonald's, Mong Kok Road, Mong Kok, Central and Western, Hong Kong, China",22.3211508,114.1702897,McDonald's,,Mong Kok Road,Yau Tsim Mong District,Mong Kok,,,Kowloon,Central and Western,Hong Kong,,China,cn,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
116.36780776083471,39.910317963300464,0.13790573341952966,"McDonald's, N. Xidan Str, Sidan, 100032 Beijing, China",39.9103171,116.3678066,McDonald's,,N. Xidan Str,西长安街街道,Sidan,100032,,Xicheng District,,Beijing,,China,cn,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
126.9765418767929,37.56253646719183,11.102273964881224,"70-1 Sejong-daero, Sogong-dong, Seoul, 04526, South Korea",37.56243415,126.97668827846462,,70-1,Sejong-daero,,Sogong-dong,04526,,Seoul,,,,South Korea,kr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
128.5367318987846,35.844419270340175,0.8244753925351236,"Starbucks, Waryong-ro, Dalseo-gu, Daegu, Daegu 42730, South Korea",35.8444119,128.5367309,Starbucks,,Waryong-ro,Dalseo-gu,,42730,,Daegu,Dalseo,Daegu,,South Korea,kr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
139.70546633005142,35.65645229278417,5.831323003582902,"Starbucks, Meiji-dori Avenue, Shibuya 3-chome, Shibuya, Tokyo 150-0002, Japan",35.6564007,139.7054779,Starbucks,,Meiji-dori Avenue,Shibuya,Shibuya 3-chome,150-0002,,Shibuya,Shibuya,Tokyo,,Japan,jp,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
126.52955409139393,33.49967555978481,0,"BaskinRabins, 224 Jungang-ro, Jeju, 63208, South Korea",33.49966885,126.52955748527341,BaskinRabins,224,Jungang-ro,,,63208,,Jeju,Jeju,,,South Korea,kr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
135.5066253617406,34.67892090977419,2.0723692529090334,"McDonald's, Sakaisuji, Chuo, Osaka, Osaka Prefecture 541-0043, Japan",34.6789101,135.5066069,McDonald's,,Sakaisuji,,Chuo,541-0043,,Osaka,Osaka Prefecture,Osaka Prefecture,,Japan,jp,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138.58781330287457,-34.923375782379246,0,"McDonald's, West Terrace, Adelaide SA 5000, Australia",-34.923392050000004,138.58781599016407,McDonald's,,West Terrace,,Adelaide,5000,,Adelaide,Adelaide City Council,South Australia,SA,Australia,au,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
151.22155487537384,-33.87630920507449,0,"Top of Town, 227 Victoria Street, Darlinghurst NSW 2010, Australia",-33.8764601,151.22156945602296,Top of Town,227,Victoria Street,,Darlinghurst,2010,,Sydney,,New South Wales,NSW,Australia,au,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
144.95422482490537,-37.81871003851634,0,"Liberty Tower, 620 Collins Street, Melbourne VIC 3000, Australia",-37.81866625,144.9543683,Liberty Tower,620,Collins Street,,Melbourne,3000,,Melbourne,,Victoria,VIC,Australia,au,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
153.03094826638699,-27.515133337780018,0,"KFC, Chester Road, Annerley QLD 4103, Australia",-27.51513875,153.0309415668155,KFC,,Chester Road,,Annerley,4103,,Brisbane City,,Queensland,QLD,Australia,au,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
115.85744708776474,-31.953235284745496,0.30306898831014933,"McDonald's, William Street, Perth WA 6000, Australia",-31.9532353,115.8574503,McDonald's,,William Street,Perth,Perth,6000,,Perth,City of Perth,Western Australia,WA,Australia,au,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
174.77589469403028,-41.290685730225356,0.025761953345848528,"McDonald's, 75 Manners Street, Te Aro, Wellington 6011, New Zealand",-41.2906858,174.7758944,McDonald's,75,Manners Street,Wellington,Te Aro,6011,,Wellington,Wellington City,Wellington,WGN,New Zealand,nz,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
172.63483643531796,-43.53806784934074,0,"South City Shopping Centre, 555 Colombo Street, Central City, Christchurch 8014, New Zealand",-43.53854035,172.63535972273428,South City Shopping Centre,555,Colombo Street,,Central City,8014,,Christchurch,Christchurch City,Canterbury,CAN,New Zealand,nz,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46.712031215429306,24.6549545311127,0.3761747094838539,"Dominos pizza, Abdul Aziz Bin Musaed Bin Julowi St., Al Murabba District, Riyadh 3285, Saudi Arabia",24.6549575,46.712033,Dominos pizza,,Abdul Aziz Bin Musaed Bin Julowi St.,,Al Murabba District,3285,,Riyadh,Ar-Riyad,Riyadh Region,,Saudi Arabia,sa,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
55.306378081440926,25.26840275587365,0.13858290951727714,"29454 95744 Al Maktoum Street, Dubai, United Arab Emirates",25.268404,55.306378,,29454 95744,Al Maktoum Street,,,63114,,Dubai,Dubai,Dubai,,United Arab Emirates,ae,© OpenAddresses contributors,BSD-3-Clause License,
-21.960428059101105,64.15052604546649,0,"JL húsið, Hringbraut 121, 101 Reykjavik, Iceland",64.1507282,-21.960735232179296,JL húsið,121,Hringbraut,,Miðborg,101,,Reykjavik,Capital Region,,,Iceland,is,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30.52287608385086,50.439357833255144,4.6542102962956555,"Esplanadna Street, 2, Клов, Kyiv, 01023, Ukraine",50.43947034999999,30.52279907367066,,2,Esplanadna Street,Pecherskyi district,Клов,01023,,Kyiv,,,,Ukraine,ua,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
24.752194583415985,59.43448283517441,0,"Teatri väljak 1, 10143 Tallinn, Estonia",59.434352000000004,24.752396806252758,,1,Teatri väljak,,Kesklinna linnaosa,10143,,Tallinn,Harju maakond,,,Estonia,ee,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
